Set,OC1-AP,OC1,CART-LC,OC1-SA,OC1-GA,OC1-ES,HBDT,GALE,GaTree,EFTI
bcw,94.85±0.76,95.53±0.67,95.75±0.58,94.93±0.79,95.37±0.70,94.85±0.76,96.72±0.48,90.89±1.07,96.35±0.01,96.59±0.70
pid,74.64±1.52,73.03±2.00,73.04±1.31,74.35±1.24,71.47±1.50,74.28±1.39,71.51±1.36,65.58±1.32,73.58±0.01,74.94±1.40
gls,64.10±2.58,62.04±3.14,68.03±3.05,64.32±3.05,63.91±3.27,62.52±3.35,62.51±3.10,44.62±2.28,52.00±0.02,70.82±2.39
irs,94.67±1.48,95.60±1.36,94.13±1.61,93.47±1.60,94.93±1.86,94.40±1.35,95.60±1.56,93.33±2.73,96.27±0.01,94.13±1.51
veh,69.57±1.26,68.16±1.28,67.58±1.55,68.06±1.53,66.30±1.41,69.18±1.42,74.51±1.46,47.53±1.68,60.76±0.01,68.75±1.61
vow,76.16±1.18,74.55±1.69,73.80±1.67,75.52±1.21,21.55±2.54,76.61±1.27,73.94±1.46,27.48±1.24,26.34±0.02,68.75±1.61
hrts,76.07±2.33,76.30±2.34,76.67±2.56,74.96±2.50,68.67±2.00,76.00±2.23,79.85±1.95,69.48±2.33,79.70±0.02,81.28±2.16
ausc,85.80±1.09,83.63±1.14,84.23±1.30,85.02±0.95,76.49±1.41,84.81±0.95,82.52±1.38,72.32±1.25,85.13±0.01,84.51±1.36
hep,82.75±4.24,82.50±4.37,83.50±3.69,77.75±3.88,80.25±4.31,80.25±3.45,83.50±3.89,78.92±2.77,86.25±0.03,84.00±2.63
lym,72.96±3.61,72.83±3.38,72.56±3.65,72.55±3.90,74.30±3.27,72.53±3.05,78.23±2.97,73.57±3.72,71.43±0.04,83.03±2.81
bc,76.24±2.13,71.58±2.68,73.36±2.45,73.79±2.67,73.31±2.24,72.98±2.26,72.10±2.58,74.04±2.00,74.54±0.02,87.85±1.50
zoo,95.06±2.50,88.66±3.67,92.66±2.73,91.84±2.91,92.04±2.68,94.31±2.70,87.82±2.98,82.98±3.51,86.80±0.03,95.64±2.25
vote,96.55±1.17,94.32±1.44,95.69±1.38,96.47±1.13,92.66±1.48,96.64±0.96,92.83±1.43,92.13±1.95,96.96±0.01,92.89±1.14
ion,88.94±1.42,88.26±1.53,83.53±2.10,89.29±1.67,90.10±1.52,88.26±1.56,88.24±1.60,90.66±1.40,84.86±0.02,86.39±2.11
son,70.50±3.24,70.39±2.98,71.34±2.49,72.51±2.77,73.13±3.11,70.50±3.24,75.96±3.06,70.77±2.98,52.20±0.04,74.64±2.60
cmc,55.34±1.35,54.69±1.25,55.92±1.20,55.35±1.31,55.28±1.39,55.69±1.37,52.89±1.32,51.31±1.15,55.70±0.01,53.91±3.31
ger,55.34±1.35,74.08±1.31,73.70±1.24,73.70±1.24,72.18±1.59,74.04±1.33,70.82±1.37,72.00±0.86,73.08±0.01,72.26±1.49
liv,63.13±2.39,67.23±2.36,64.70±1.98,64.60±1.62,67.24±2.26,66.18±2.17,65.96±2.42,67.82±2.23,62.71±0.02,70.36±2.45
page,97.05±0.18,97.05±0.22,97.17±0.23,97.00±0.23,96.61±0.21,97.08±0.18,97.00±0.16,95.49±0.19,92.34±0.00,93.16±0.68
thy,89.57±1.66,93.12±1.36,94.06±1.69,94.15±1.67,94.28±1.40,93.33±1.72,96.01±1.19,92.92±1.78,93.14±0.02,93.78±0.67
w40,76.88±0.57,81.31±0.48,56.56±1.42,76.88±0.56,76.94±0.61,76.50±0.54,81.12±0.55,79.25±0.58,69.81±0.01,80.81±0.69
