Set,OC1-AP,OC1,CART-LC,OC1-SA,OC1-GA,OC1-ES,HBDT,GALE,GaTree
bcw,1.85%,1.12%,0.89%,1.76%,1.29%,1.85%,-0.12%,6.28%,0.26%
pid,0.35%,2.56%,2.55%,0.74%,4.80%,0.83%,4.74%,14.21%,1.79%
gls,10.45%,14.12%,4.07%,10.07%,10.78%,13.24%,13.26%,58.67%,36.15%
irs,-0.60%,-1.57%,-0.03%,0.67%,-0.87%,-0.32%,-1.57%,0.83%,-2.25%
veh,-1.25%,0.79%,1.66%,0.94%,3.62%,-0.69%,-7.80%,44.54%,13.07%
vow,-27.91%,-26.36%,-25.61%,-27.30%,154.76%,-28.34%,-25.75%,99.78%,108.43%
hrts,6.88%,6.55%,6.04%,8.46%,18.39%,6.97%,1.82%,17.01%,2.01%
ausc,-1.52%,1.04%,0.32%,-0.61%,10.47%,-0.37%,2.40%,16.84%,-0.74%
hep,1.51%,1.82%,0.60%,8.04%,4.67%,4.67%,0.60%,6.44%,-2.61%
lym,13.76%,13.96%,14.39%,14.40%,11.71%,14.44%,6.10%,12.82%,16.20%
bc,15.16%,22.66%,19.68%,18.99%,19.77%,20.31%,21.78%,18.58%,17.79%
zoo,0.57%,7.83%,3.17%,4.09%,3.87%,1.37%,8.86%,15.21%,10.14%
vote,-3.78%,-1.51%,-2.92%,-3.70%,0.26%,-3.87%,0.08%,0.84%,-4.19%
ion,-2.86%,-2.11%,3.44%,-3.24%,-4.11%,-2.11%,-2.09%,-4.70%,1.81%
son,5.82%,5.98%,4.57%,2.88%,2.01%,5.82%,-1.79%,5.41%,42.91%
cmc,-2.60%,-1.44%,-3.61%,-2.62%,-2.50%,-3.21%,1.91%,5.05%,-3.23%
ger,30.65%,-2.40%,-1.90%,-1.90%,0.17%,-2.35%,2.09%,0.42%,-1.07%
liv,11.52%,4.72%,8.81%,8.98%,4.70%,6.38%,6.73%,3.80%,12.26%
page,-3.97%,-3.97%,-4.09%,-3.92%,-3.53%,-4.00%,-3.92%,-2.40%,0.93%
thy,4.72%,0.73%,-0.28%,-0.37%,-0.51%,0.50%,-2.30%,0.95%,0.71%
w40,5.10%,-0.63%,42.86%,5.10%,5.02%,5.62%,-0.39%,1.96%,15.74%
AVG,3.04%,2.09%,3.55%,1.97%,11.66%,1.75%,1.17%,15.36%,12.67%
