Set,OC1-AP,OC1,CART-LC,OC1-SA,OC1-GA,OC1-ES,HBDT,GALE,GaTree
bcw,-80.66%,-45.65%,-58.85%,-75.06%,-79.17%,-80.66%,-50.50%,-70.59%,-58.33%
pid,-83.28%,-64.83%,-75.53%,-76.77%,-87.88%,-86.57%,-87.09%,-59.93%,-47.25%
gls,-48.30%,-44.36%,-45.11%,-51.14%,-77.54%,-49.59%,-42.70%,244.34%,1.39%
irs,-37.76%,-15.25%,-32.74%,-35.34%,-50.33%,-37.76%,-13.79%,-1.96%,-35.06%
veh,-88.95%,-83.90%,-84.83%,-87.94%,-93.34%,-87.79%,-68.20%,-4.93%,-25.21%
vow,-43.04%,6.23%,-27.09%,-42.09%,980.71%,-40.75%,45.08%,370.84%,609.30%
hrts,-80.80%,-55.32%,-61.11%,-77.07%,-88.95%,-79.17%,-50.70%,-13.22%,-67.08%
ausc,-73.62%,-62.30%,-61.92%,-72.36%,-92.33%,-71.25%,-77.58%,-71.03%,-36.11%
hep,-41.34%,-31.37%,-40.00%,-48.02%,-48.28%,-42.93%,-1.87%,-32.69%,-64.77%
lym,-71.48%,-28.25%,-52.94%,-66.03%,-62.53%,-66.17%,-12.09%,-25.23%,-54.15%
bc,-62.85%,-22.08%,-48.94%,-64.18%,-68.83%,-72.85%,-75.95%,-53.13%,-54.89%
zoo,4.11%,6.93%,5.03%,0.00%,9.23%,4.11%,19.93%,11.64%,2.60%
vote,-40.48%,-16.67%,-18.70%,-25.37%,-55.75%,-32.43%,-39.02%,-50.74%,0.00%
ion,-50.00%,-59.55%,-71.53%,-64.39%,-58.33%,-67.02%,-59.28%,-65.75%,-56.60%
son,-66.57%,-64.50%,-63.08%,-69.23%,-64.60%,-66.57%,-43.66%,-67.91%,-79.20%
cmc,-90.38%,-83.58%,-80.07%,-88.41%,-87.66%,-83.11%,-95.25%,-11.17%,-29.44%
ger,-89.23%,-55.65%,-70.59%,-84.99%,-87.68%,-86.81%,-85.31%,-58.65%,-58.65%
liv,-85.53%,-57.25%,-80.27%,-81.30%,-78.90%,-83.83%,-82.14%,-54.37%,-61.54%
page,-92.29%,-91.59%,-90.93%,-93.86%,-95.10%,-93.35%,-92.31%,-51.46%,-33.77%
thy,-65.40%,-62.96%,-60.47%,-59.18%,-61.98%,-60.47%,-36.31%,-30.07%,-61.09%
w40,-95.29%,-80.00%,-94.74%,-95.07%,-93.28%,-94.54%,-91.77%,-80.29%,-45.05%
AVG,-65.86%,-48.19%,-57.83%,-64.66%,-21.07%,-65.69%,-49.55%,-8.40%,-12.14%
