Name (location),Time,Calls,% Time
Summary,13.730s,,100.0
evaluate_node_test,6.970s,1169482748,50.764748
find_dt_leaf_for_inst,5.590s,368251473,40.713764
find_node_distribution,1.100s,250001,8.011653
fitness_eval,30.000ms,250001,0.21849963
_extract_hierarcy,20.000ms,211666,0.14566642
efti,10.000ms,1,0.07283321
dt_eval,10.000ms,,0.07283321
delete_trimmed_subtree,0ns,52,0.0
efti_close,0ns,1,0.0
efti_init,0ns,1,0.0
efti_load_instance,0ns,1473,0.0
efti_printf,0ns,5,0.0
efti_reset,0ns,2,0.0
extract_hierarcy,0ns,14230,0.0
node_alloc,0ns,5547,0.0
node_free,0ns,5495,0.0
pack_coefs,0ns,2137,0.0
random_hiperplane,0ns,2137,0.0
rnd_perm,0ns,1,0.0
timing_close,0ns,2,0.0
timing_count_get,0ns,500484,0.0
timing_init,0ns,2,0.0
timing_reset,0ns,250485,0.0
timing_start,0ns,250001,0.0
timing_stop,0ns,250000,0.0
tree_copy,0ns,1272,0.0
tree_create,0ns,4275,0.0
tree_create_child,0ns,4274,0.0
tree_delete_child,0ns,4220,0.0
tree_delete_node,0ns,5495,0.0
tree_get_sibling,0ns,4995,0.0
tree_init,0ns,1,0.0
main,0ns,0,0.0
