Name (location),Time,Calls,% Time
Summary,25.080s,,100.0
evaluate_node_test,18.740s,948876378,74.720894
find_dt_leaf_for_inst,4.580s,943003772,18.261562
find_node_distribution,1.720s,250001,6.858054
efti,30.000ms,1,0.119617224
fitness_eval,10.000ms,250001,0.039872408
_extract_hierarcy,0ns,18475,0.0
delete_trimmed_subtree,0ns,35,0.0
efti_close,0ns,1,0.0
efti_init,0ns,1,0.0
efti_load_instance,0ns,3772,0.0
efti_printf,0ns,5,0.0
efti_reset,0ns,2,0.0
extract_hierarcy,0ns,4613,0.0
node_alloc,0ns,4661,0.0
node_free,0ns,4629,0.0
pack_coefs,0ns,2297,0.0
random_hiperplane,0ns,2297,0.0
rnd_perm,0ns,1,0.0
timing_close,0ns,2,0.0
timing_count_get,0ns,500707,0.0
timing_init,0ns,2,0.0
timing_reset,0ns,250708,0.0
timing_start,0ns,250001,0.0
timing_stop,0ns,250000,0.0
tree_copy,0ns,66,0.0
tree_create,0ns,4595,0.0
tree_create_child,0ns,4594,0.0
tree_delete_child,0ns,4564,0.0
tree_delete_node,0ns,4629,0.0
tree_get_sibling,0ns,13,0.0
tree_init,0ns,1,0.0
main,0ns,0,0.0
