Name (location),Time,Calls,% Time
Summary,12.660s,,100.0
evaluate_node_test,8.190s,783208408,64.69194
find_dt_leaf_for_inst,3.960s,211500846,31.279621
find_node_distribution,480.000ms,250001,3.791469
efti,10.000ms,1,0.07898894
fitness_eval,10.000ms,250001,0.07898894
timing_start,10.000ms,250001,0.07898894
_extract_hierarcy,0ns,516681,0.0
delete_trimmed_subtree,0ns,54,0.0
efti_close,0ns,1,0.0
efti_init,0ns,1,0.0
efti_load_instance,0ns,846,0.0
efti_printf,0ns,5,0.0
efti_reset,0ns,2,0.0
extract_hierarcy,0ns,21695,0.0
node_alloc,0ns,4808,0.0
node_free,0ns,4716,0.0
pack_coefs,0ns,1234,0.0
random_hiperplane,0ns,1234,0.0
rnd_perm,0ns,1,0.0
timing_close,0ns,2,0.0
timing_count_get,0ns,500374,0.0
timing_init,0ns,2,0.0
timing_reset,0ns,250375,0.0
timing_stop,0ns,250000,0.0
tree_copy,0ns,2339,0.0
tree_create,0ns,2469,0.0
tree_create_child,0ns,2468,0.0
tree_delete_child,0ns,2394,0.0
tree_delete_node,0ns,4716,0.0
tree_get_sibling,0ns,9647,0.0
tree_init,0ns,1,0.0
main,0ns,0,0.0
