Name (location),Time,Calls,% Time
Summary,29.700s,,100.0
evaluate_node_test,19.670s,523086049,66.22896
find_dt_leaf_for_inst,5.730s,520986048,19.292929
find_node_distribution,3.990s,20001,13.434343
assign_classes,150.000ms,,0.5050505
extract_hierarcy,120.000ms,317,0.4040404
efti,20.000ms,20001,0.06734007
efti_create,10.000ms,1,0.033670034
fitness_eval,10.000ms,20001,0.033670034
main,0ns,0,0.0
crossvalid_init,0ns,1,0.0
crossvalid_next_conf,0ns,1,0.0
crossvalid_next_dataset,0ns,1,0.0
crossvalid_next_ensemble,0ns,1,0.0
crossvalid_next_fold,0ns,1,0.0
crossvalid_next_run,0ns,1,0.0
efti_close,0ns,1,0.0
ensemble_size_run,0ns,1,0.0
rnd_perm,0ns,1,0.0
start_efti_task,0ns,1,0.0
timing_init,0ns,1,0.0
timing_close,0ns,2,0.0
timing_get,0ns,2,0.0
efti_printf,0ns,3,0.0
delete_trimmed_subtree,0ns,4,0.0
tree_copy,0ns,18,0.0
efti_pre_malloc,0ns,25,0.0
pack_coefs,0ns,157,0.0
random_hiperplane,0ns,157,0.0
tree_delete_child,0ns,312,0.0
tree_create_child,0ns,314,0.0
tree_create,0ns,315,0.0
tree_delete_node,0ns,327,0.0
_extract_hierarcy,0ns,1263,0.0
efti_rnd,0ns,111104,0.0
