Name (location),Time,Calls,% Time
Summary,42.130s,,100.0
evaluate_node_test,26.500s,735773770,62.900547
find_dt_leaf_for_inst,8.740s,723396168,20.745312
find_node_distribution,6.520s,20001,15.475908
assign_classes,200.000ms,,0.4747211
extract_hierarcy,100.000ms,310,0.23736055
rnd_perm,20.000ms,1,0.047472112
efti_pre_malloc,20.000ms,25,0.047472112
efti_create,10.000ms,1,0.023736056
fitness_eval,10.000ms,20001,0.023736056
efti_rnd,10.000ms,111648,0.023736056
main,0ns,0,0.0
crossvalid_init,0ns,1,0.0
crossvalid_next_conf,0ns,1,0.0
crossvalid_next_dataset,0ns,1,0.0
crossvalid_next_ensemble,0ns,1,0.0
crossvalid_next_fold,0ns,1,0.0
crossvalid_next_run,0ns,1,0.0
efti_close,0ns,1,0.0
ensemble_size_run,0ns,1,0.0
start_efti_task,0ns,1,0.0
timing_init,0ns,1,0.0
timing_close,0ns,2,0.0
timing_get,0ns,2,0.0
tree_get_sibling,0ns,2,0.0
efti_printf,0ns,3,0.0
delete_trimmed_subtree,0ns,5,0.0
tree_copy,0ns,15,0.0
pack_coefs,0ns,154,0.0
random_hiperplane,0ns,154,0.0
tree_delete_child,0ns,302,0.0
tree_create_child,0ns,308,0.0
tree_create,0ns,309,0.0
tree_delete_node,0ns,314,0.0
_extract_hierarcy,0ns,1256,0.0
efti,0ns,20001,0.0
