Name (location),Time,Calls,% Time
Summary,12.690s,,100.0
evaluate_node_test,8.650s,329531472,68.16391
find_dt_leaf_for_inst,2.850s,90644532,22.45863
find_node_distribution,990.000ms,20001,7.8014183
extract_hierarcy,90.000ms,702,0.7092199
fitness_eval,80.000ms,20001,0.63041764
assign_classes,10.000ms,,0.078802206
efti_pre_malloc,10.000ms,25,0.078802206
efti,10.000ms,20001,0.078802206
main,0ns,0,0.0
crossvalid_init,0ns,1,0.0
crossvalid_next_conf,0ns,1,0.0
crossvalid_next_dataset,0ns,1,0.0
crossvalid_next_ensemble,0ns,1,0.0
crossvalid_next_fold,0ns,1,0.0
crossvalid_next_run,0ns,1,0.0
efti_close,0ns,1,0.0
efti_create,0ns,1,0.0
ensemble_size_run,0ns,1,0.0
rnd_perm,0ns,1,0.0
start_efti_task,0ns,1,0.0
timing_init,0ns,1,0.0
timing_close,0ns,2,0.0
timing_get,0ns,2,0.0
efti_printf,0ns,3,0.0
delete_trimmed_subtree,0ns,6,0.0
pack_coefs,0ns,132,0.0
random_hiperplane,0ns,132,0.0
tree_get_sibling,0ns,220,0.0
tree_delete_child,0ns,252,0.0
tree_create_child,0ns,264,0.0
tree_create,0ns,265,0.0
tree_copy,0ns,433,0.0
tree_delete_node,0ns,676,0.0
_extract_hierarcy,0ns,6826,0.0
efti_rnd,0ns,111107,0.0
