Name (location),Time,Calls,% Time
Summary,11.120s,,100.0
evaluate_node_test,6.560s,253704549,58.992805
find_dt_leaf_for_inst,2.780s,172808640,25.0
find_node_distribution,1.620s,20001,14.568345
assign_classes,60.000ms,,0.53956836
extract_hierarcy,60.000ms,394,0.53956836
ensemble_size_run,10.000ms,1,0.08992806
rnd_perm,10.000ms,1,0.08992806
efti_pre_malloc,10.000ms,25,0.08992806
efti,10.000ms,20001,0.08992806
main,0ns,0,0.0
crossvalid_init,0ns,1,0.0
crossvalid_next_conf,0ns,1,0.0
crossvalid_next_dataset,0ns,1,0.0
crossvalid_next_ensemble,0ns,1,0.0
crossvalid_next_fold,0ns,1,0.0
crossvalid_next_run,0ns,1,0.0
efti_close,0ns,1,0.0
efti_create,0ns,1,0.0
start_efti_task,0ns,1,0.0
timing_init,0ns,1,0.0
timing_close,0ns,2,0.0
timing_get,0ns,2,0.0
efti_printf,0ns,3,0.0
delete_trimmed_subtree,0ns,5,0.0
tree_get_sibling,0ns,56,0.0
pack_coefs,0ns,141,0.0
random_hiperplane,0ns,141,0.0
tree_delete_child,0ns,276,0.0
tree_create_child,0ns,282,0.0
tree_create,0ns,283,0.0
tree_copy,0ns,291,0.0
tree_delete_node,0ns,564,0.0
_extract_hierarcy,0ns,1936,0.0
fitness_eval,0ns,20001,0.0
efti_rnd,0ns,110744,0.0
