Name (location),Time,Calls,% Time
Summary,11.460s,,100.0
evaluate_node_test,7.130s,240814281,62.216404
find_dt_leaf_for_inst,2.310s,239691984,20.157068
find_node_distribution,1.940s,20001,16.928448
extract_hierarcy,60.000ms,362,0.5235602
assign_classes,20.000ms,,0.17452008
main,0ns,0,0.0
crossvalid_init,0ns,1,0.0
crossvalid_next_conf,0ns,1,0.0
crossvalid_next_dataset,0ns,1,0.0
crossvalid_next_ensemble,0ns,1,0.0
crossvalid_next_fold,0ns,1,0.0
crossvalid_next_run,0ns,1,0.0
efti_close,0ns,1,0.0
efti_create,0ns,1,0.0
ensemble_size_run,0ns,1,0.0
rnd_perm,0ns,1,0.0
start_efti_task,0ns,1,0.0
timing_init,0ns,1,0.0
timing_close,0ns,2,0.0
timing_get,0ns,2,0.0
delete_trimmed_subtree,0ns,3,0.0
efti_printf,0ns,3,0.0
tree_copy,0ns,15,0.0
efti_pre_malloc,0ns,25,0.0
pack_coefs,0ns,180,0.0
random_hiperplane,0ns,180,0.0
tree_delete_child,0ns,358,0.0
tree_create_child,0ns,360,0.0
tree_create,0ns,361,0.0
tree_delete_node,0ns,370,0.0
_extract_hierarcy,0ns,1444,0.0
efti,0ns,20001,0.0
fitness_eval,0ns,20001,0.0
efti_rnd,0ns,110971,0.0
