Name (location),Time,Calls,% Time
Summary,4.310s,,100.0
evaluate_node_test,2.650s,239406142,61.48492
find_dt_leaf_for_inst,1.250s,172500690,29.00232
find_node_distribution,360.000ms,250001,8.352668
efti,40.000ms,1,0.92807424
timing_start,10.000ms,250001,0.23201856
_extract_hierarcy,0ns,29970,0.0
delete_trimmed_subtree,0ns,39,0.0
efti_close,0ns,1,0.0
efti_init,0ns,1,0.0
efti_load_instance,0ns,690,0.0
efti_printf,0ns,5,0.0
efti_reset,0ns,2,0.0
extract_hierarcy,0ns,5832,0.0
fitness_eval,0ns,250001,0.0
node_alloc,0ns,4451,0.0
node_free,0ns,4415,0.0
pack_coefs,0ns,2109,0.0
random_hiperplane,0ns,2109,0.0
rnd_perm,0ns,1,0.0
timing_close,0ns,2,0.0
timing_count_get,0ns,500140,0.0
timing_init,0ns,2,0.0
timing_reset,0ns,250141,0.0
timing_stop,0ns,250000,0.0
tree_copy,0ns,232,0.0
tree_create,0ns,4219,0.0
tree_create_child,0ns,4218,0.0
tree_delete_child,0ns,4188,0.0
tree_delete_node,0ns,4415,0.0
tree_get_sibling,0ns,811,0.0
tree_init,0ns,1,0.0
main,0ns,0,0.0
