Name (location),Time,Calls,% Time
Summary,12.280s,,100.0
evaluate_node_test,7.010s,1321449473,57.08469
find_dt_leaf_for_inst,4.020s,432001728,32.736156
find_node_distribution,1.190s,250001,9.690554
efti,30.000ms,1,0.24429968
fitness_eval,30.000ms,250001,0.24429968
_extract_hierarcy,0ns,117371,0.0
delete_trimmed_subtree,0ns,44,0.0
efti_close,0ns,1,0.0
efti_init,0ns,1,0.0
efti_load_instance,0ns,1728,0.0
efti_printf,0ns,5,0.0
efti_reset,0ns,2,0.0
extract_hierarcy,0ns,10931,0.0
node_alloc,0ns,5168,0.0
node_free,0ns,5092,0.0
pack_coefs,0ns,2264,0.0
random_hiperplane,0ns,2264,0.0
rnd_perm,0ns,1,0.0
timing_close,0ns,2,0.0
timing_count_get,0ns,500488,0.0
timing_init,0ns,2,0.0
timing_reset,0ns,250489,0.0
timing_start,0ns,250001,0.0
timing_stop,0ns,250000,0.0
tree_copy,0ns,639,0.0
tree_create,0ns,4529,0.0
tree_create_child,0ns,4528,0.0
tree_delete_child,0ns,4482,0.0
tree_delete_node,0ns,5092,0.0
tree_get_sibling,0ns,3222,0.0
tree_init,0ns,1,0.0
main,0ns,0,0.0
