Name (location),Time,Calls,% Time
Summary,56.290s,,100.0
evaluate_node_test,39.450s,-651011011,70.083496
find_dt_leaf_for_inst,13.380s,1250005000,23.769764
find_node_distribution,3.410s,250001,6.0579143
efti,30.000ms,1,0.053295434
fitness_eval,10.000ms,250001,0.017765144
timing_tick2sec,10.000ms,,0.017765144
_extract_hierarcy,0ns,111694,0.0
delete_trimmed_subtree,0ns,55,0.0
efti_close,0ns,1,0.0
efti_init,0ns,1,0.0
efti_load_instance,0ns,5000,0.0
efti_printf,0ns,5,0.0
efti_reset,0ns,2,0.0
extract_hierarcy,0ns,10714,0.0
node_alloc,0ns,5692,0.0
node_free,0ns,5618,0.0
pack_coefs,0ns,2466,0.0
random_hiperplane,0ns,2466,0.0
rnd_perm,0ns,1,0.0
timing_close,0ns,2,0.0
timing_count_get,0ns,501697,0.0
timing_init,0ns,2,0.0
timing_reset,0ns,251698,0.0
timing_start,0ns,250001,0.0
timing_stop,0ns,250000,0.0
tree_copy,0ns,759,0.0
tree_create,0ns,4933,0.0
tree_create_child,0ns,4932,0.0
tree_delete_child,0ns,4868,0.0
tree_delete_node,0ns,5618,0.0
tree_get_sibling,0ns,2912,0.0
tree_init,0ns,1,0.0
main,0ns,0,0.0
