Name (location),Time,Calls,% Time
Summary,34.070s,,100.0
evaluate_node_test,24.960s,1712872991,73.26093
find_dt_leaf_for_inst,7.740s,485251941,22.717934
find_node_distribution,1.320s,250001,3.8743763
fitness_eval,30.000ms,250001,0.08805401
efti,10.000ms,1,0.029351335
random_hiperplane,10.000ms,1755,0.029351335
_extract_hierarcy,0ns,444831,0.0
delete_trimmed_subtree,0ns,61,0.0
efti_close,0ns,1,0.0
efti_init,0ns,1,0.0
efti_load_instance,0ns,1941,0.0
efti_printf,0ns,5,0.0
efti_reset,0ns,2,0.0
extract_hierarcy,0ns,20177,0.0
node_alloc,0ns,6110,0.0
node_free,0ns,6016,0.0
pack_coefs,0ns,1755,0.0
rnd_perm,0ns,1,0.0
timing_close,0ns,2,0.0
timing_count_get,0ns,500909,0.0
timing_init,0ns,2,0.0
timing_reset,0ns,250910,0.0
timing_start,0ns,250001,0.0
timing_stop,0ns,250000,0.0
tree_copy,0ns,2599,0.0
tree_create,0ns,3511,0.0
tree_create_child,0ns,3510,0.0
tree_delete_child,0ns,3432,0.0
tree_delete_node,0ns,6016,0.0
tree_get_sibling,0ns,8369,0.0
tree_init,0ns,1,0.0
main,0ns,0,0.0
