Name (location),Time,Calls,% Time
Summary,36.400s,,100.0
evaluate_node_test,28.960s,1799165958,79.56044
find_dt_leaf_for_inst,5.390s,943003772,14.807693
find_node_distribution,2.010s,250001,5.521978
efti,40.000ms,1,0.10989011
_extract_hierarcy,0ns,34482,0.0
delete_trimmed_subtree,0ns,39,0.0
efti_close,0ns,1,0.0
efti_init,0ns,1,0.0
efti_load_instance,0ns,3772,0.0
efti_printf,0ns,5,0.0
efti_reset,0ns,2,0.0
extract_hierarcy,0ns,6512,0.0
fitness_eval,0ns,250001,0.0
node_alloc,0ns,4668,0.0
node_free,0ns,4630,0.0
pack_coefs,0ns,2232,0.0
random_hiperplane,0ns,2232,0.0
rnd_perm,0ns,1,0.0
timing_close,0ns,2,0.0
timing_count_get,0ns,501026,0.0
timing_init,0ns,2,0.0
timing_reset,0ns,251027,0.0
timing_start,0ns,250001,0.0
timing_stop,0ns,250000,0.0
tree_copy,0ns,203,0.0
tree_create,0ns,4465,0.0
tree_create_child,0ns,4464,0.0
tree_delete_child,0ns,4426,0.0
tree_delete_node,0ns,4630,0.0
tree_get_sibling,0ns,1031,0.0
tree_init,0ns,1,0.0
main,0ns,0,0.0
