Name (location),Time,Calls,% Time
Summary,3.500s,,100.0
evaluate_node_test,2.370s,224541061,67.71429
find_dt_leaf_for_inst,840.000ms,108750435,24.0
find_node_distribution,250.000ms,250001,7.142857
efti,20.000ms,1,0.5714286
pack_coefs,10.000ms,2268,0.2857143
tree_create,10.000ms,4537,0.2857143
_extract_hierarcy,0ns,50415,0.0
delete_trimmed_subtree,0ns,44,0.0
efti_close,0ns,1,0.0
efti_init,0ns,1,0.0
efti_load_instance,0ns,435,0.0
efti_printf,0ns,5,0.0
efti_reset,0ns,2,0.0
extract_hierarcy,0ns,7263,0.0
fitness_eval,0ns,250001,0.0
node_alloc,0ns,4845,0.0
node_free,0ns,4801,0.0
random_hiperplane,0ns,2268,0.0
rnd_perm,0ns,1,0.0
timing_close,0ns,2,0.0
timing_count_get,0ns,500113,0.0
timing_init,0ns,2,0.0
timing_reset,0ns,250114,0.0
timing_start,0ns,250001,0.0
timing_stop,0ns,250000,0.0
tree_copy,0ns,308,0.0
tree_create_child,0ns,4536,0.0
tree_delete_child,0ns,4486,0.0
tree_delete_node,0ns,4801,0.0
tree_get_sibling,0ns,1377,0.0
tree_init,0ns,1,0.0
main,0ns,0,0.0
