Name (location),Time,Calls,% Time
Summary,1min 4s,,100.0
evaluate_node_test,45.010s,-899138868,69.56723
find_dt_leaf_for_inst,16.740s,1250005000,25.87326
find_node_distribution,2.880s,250001,4.451314
efti,30.000ms,1,0.04636785
fitness_eval,30.000ms,250001,0.04636785
_extract_hierarcy,10.000ms,158497,0.015455951
delete_trimmed_subtree,0ns,50,0.0
efti_close,0ns,1,0.0
efti_init,0ns,1,0.0
efti_load_instance,0ns,5000,0.0
efti_printf,0ns,5,0.0
efti_reset,0ns,2,0.0
extract_hierarcy,0ns,12203,0.0
node_alloc,0ns,8332,0.0
node_free,0ns,8274,0.0
pack_coefs,0ns,2574,0.0
random_hiperplane,0ns,2574,0.0
rnd_perm,0ns,1,0.0
timing_close,0ns,2,0.0
timing_count_get,0ns,501805,0.0
timing_init,0ns,2,0.0
timing_reset,0ns,251806,0.0
timing_start,0ns,250001,0.0
timing_stop,0ns,250000,0.0
tree_copy,0ns,3183,0.0
tree_create,0ns,5149,0.0
tree_create_child,0ns,5148,0.0
tree_delete_child,0ns,5098,0.0
tree_delete_node,0ns,8274,0.0
tree_get_sibling,0ns,3541,0.0
tree_init,0ns,1,0.0
main,0ns,0,0.0
