Name (location),Time,Calls,% Time
Summary,14.880s,,100.0
evaluate_node_test,8.450s,306018921,56.787636
find_dt_leaf_for_inst,3.390s,304335216,22.782259
find_node_distribution,2.850s,20001,19.153225
assign_classes,90.000ms,,0.6048387
extract_hierarcy,90.000ms,426,0.6048387
rnd_perm,10.000ms,1,0.067204304
main,0ns,0,0.0
crossvalid_init,0ns,1,0.0
crossvalid_next_conf,0ns,1,0.0
crossvalid_next_dataset,0ns,1,0.0
crossvalid_next_ensemble,0ns,1,0.0
crossvalid_next_fold,0ns,1,0.0
crossvalid_next_run,0ns,1,0.0
delete_trimmed_subtree,0ns,1,0.0
efti_close,0ns,1,0.0
efti_create,0ns,1,0.0
ensemble_size_run,0ns,1,0.0
start_efti_task,0ns,1,0.0
timing_init,0ns,1,0.0
timing_close,0ns,2,0.0
timing_get,0ns,2,0.0
efti_printf,0ns,3,0.0
tree_copy,0ns,9,0.0
efti_pre_malloc,0ns,25,0.0
pack_coefs,0ns,213,0.0
random_hiperplane,0ns,213,0.0
tree_delete_child,0ns,424,0.0
tree_create_child,0ns,426,0.0
tree_create,0ns,427,0.0
tree_delete_node,0ns,430,0.0
_extract_hierarcy,0ns,1702,0.0
efti,0ns,20001,0.0
fitness_eval,0ns,20001,0.0
efti_rnd,0ns,111289,0.0
