Name (location),Time,Calls,% Time
Summary,6.240s,,100.0
evaluate_node_test,3.390s,177980793,54.326923
find_dt_leaf_for_inst,1.710s,87564378,27.403847
find_node_distribution,1.070s,20001,17.147436
efti_pre_malloc,30.000ms,25,0.48076922
assign_classes,20.000ms,,0.32051283
extract_hierarcy,20.000ms,583,0.32051283
main,0ns,0,0.0
crossvalid_init,0ns,1,0.0
crossvalid_next_conf,0ns,1,0.0
crossvalid_next_dataset,0ns,1,0.0
crossvalid_next_ensemble,0ns,1,0.0
crossvalid_next_fold,0ns,1,0.0
crossvalid_next_run,0ns,1,0.0
efti_close,0ns,1,0.0
efti_create,0ns,1,0.0
ensemble_size_run,0ns,1,0.0
rnd_perm,0ns,1,0.0
start_efti_task,0ns,1,0.0
timing_init,0ns,1,0.0
timing_close,0ns,2,0.0
timing_get,0ns,2,0.0
efti_printf,0ns,3,0.0
delete_trimmed_subtree,0ns,6,0.0
tree_get_sibling,0ns,97,0.0
pack_coefs,0ns,195,0.0
random_hiperplane,0ns,195,0.0
tree_copy,0ns,333,0.0
tree_delete_child,0ns,380,0.0
tree_create_child,0ns,390,0.0
tree_create,0ns,391,0.0
tree_delete_node,0ns,706,0.0
_extract_hierarcy,0ns,4449,0.0
efti,0ns,20001,0.0
fitness_eval,0ns,20001,0.0
efti_rnd,0ns,112797,0.0
