Name (location),Time,Calls,% Time
Summary,25.080s,,100.0
evaluate_node_test,16.190s,623619982,64.55343
find_dt_leaf_for_inst,6.910s,175868793,27.551834
find_node_distribution,1.820s,20001,7.2567782
assign_classes,80.000ms,,0.31897926
extract_hierarcy,60.000ms,1680,0.23923445
rnd_perm,10.000ms,1,0.039872408
efti_pre_malloc,10.000ms,25,0.039872408
main,0ns,0,0.0
crossvalid_init,0ns,1,0.0
crossvalid_next_conf,0ns,1,0.0
crossvalid_next_dataset,0ns,1,0.0
crossvalid_next_ensemble,0ns,1,0.0
crossvalid_next_fold,0ns,1,0.0
crossvalid_next_run,0ns,1,0.0
efti_close,0ns,1,0.0
efti_create,0ns,1,0.0
ensemble_size_run,0ns,1,0.0
start_efti_task,0ns,1,0.0
timing_init,0ns,1,0.0
timing_close,0ns,2,0.0
timing_get,0ns,2,0.0
efti_printf,0ns,3,0.0
delete_trimmed_subtree,0ns,6,0.0
pack_coefs,0ns,71,0.0
random_hiperplane,0ns,71,0.0
tree_delete_child,0ns,102,0.0
tree_create_child,0ns,142,0.0
tree_create,0ns,143,0.0
tree_get_sibling,0ns,779,0.0
tree_copy,0ns,10497,0.0
tree_delete_node,0ns,10570,0.0
efti,0ns,20001,0.0
fitness_eval,0ns,20001,0.0
_extract_hierarcy,0ns,46430,0.0
efti_rnd,0ns,111305,0.0
