Name (location),Time,Calls,% Time
Summary,7.140s,,100.0
evaluate_node_test,4.900s,155670239,68.62745
find_dt_leaf_for_inst,1.540s,80004000,21.568628
find_node_distribution,620.000ms,20001,8.683474
assign_classes,30.000ms,,0.42016807
extract_hierarcy,30.000ms,508,0.42016807
efti,10.000ms,20001,0.14005603
fitness_eval,10.000ms,20001,0.14005603
main,0ns,0,0.0
crossvalid_init,0ns,1,0.0
crossvalid_next_conf,0ns,1,0.0
crossvalid_next_dataset,0ns,1,0.0
crossvalid_next_ensemble,0ns,1,0.0
crossvalid_next_fold,0ns,1,0.0
crossvalid_next_run,0ns,1,0.0
efti_close,0ns,1,0.0
efti_create,0ns,1,0.0
ensemble_size_run,0ns,1,0.0
rnd_perm,0ns,1,0.0
start_efti_task,0ns,1,0.0
timing_init,0ns,1,0.0
timing_close,0ns,2,0.0
timing_get,0ns,2,0.0
efti_printf,0ns,3,0.0
delete_trimmed_subtree,0ns,7,0.0
efti_pre_malloc,0ns,25,0.0
tree_get_sibling,0ns,123,0.0
pack_coefs,0ns,134,0.0
random_hiperplane,0ns,134,0.0
tree_delete_child,0ns,254,0.0
tree_create_child,0ns,268,0.0
tree_create,0ns,269,0.0
tree_copy,0ns,828,0.0
tree_delete_node,0ns,1079,0.0
_extract_hierarcy,0ns,3728,0.0
efti_rnd,0ns,110856,0.0
