Name (location),Time,Calls,% Time
Summary,5.200s,,100.0
evaluate_node_test,3.200s,333526482,61.53846
find_dt_leaf_for_inst,1.520s,172500690,29.23077
find_node_distribution,440.000ms,250001,8.461538
efti,20.000ms,1,0.3846154
fitness_eval,20.000ms,250001,0.3846154
_extract_hierarcy,0ns,47758,0.0
delete_trimmed_subtree,0ns,49,0.0
efti_close,0ns,1,0.0
efti_init,0ns,1,0.0
efti_load_instance,0ns,690,0.0
efti_printf,0ns,5,0.0
efti_reset,0ns,2,0.0
extract_hierarcy,0ns,7282,0.0
node_alloc,0ns,4975,0.0
node_free,0ns,4919,0.0
pack_coefs,0ns,2324,0.0
random_hiperplane,0ns,2324,0.0
rnd_perm,0ns,1,0.0
timing_close,0ns,2,0.0
timing_count_get,0ns,500174,0.0
timing_init,0ns,2,0.0
timing_reset,0ns,250175,0.0
timing_start,0ns,250001,0.0
timing_stop,0ns,250000,0.0
tree_copy,0ns,326,0.0
tree_create,0ns,4649,0.0
tree_create_child,0ns,4648,0.0
tree_delete_child,0ns,4598,0.0
tree_delete_node,0ns,4919,0.0
tree_get_sibling,0ns,1332,0.0
tree_init,0ns,1,0.0
main,0ns,0,0.0
