Name (location),Time,Calls,% Time
Summary,33.570s,,100.0
evaluate_node_test,22.160s,2041881927,66.01132
find_dt_leaf_for_inst,9.890s,531502126,29.460829
find_node_distribution,1.460s,250001,4.349121
fitness_eval,60.000ms,250001,0.17873101
_extract_hierarcy,0ns,595664,0.0
delete_trimmed_subtree,0ns,51,0.0
efti,0ns,1,0.0
efti_close,0ns,1,0.0
efti_init,0ns,1,0.0
efti_load_instance,0ns,2126,0.0
efti_printf,0ns,5,0.0
efti_reset,0ns,2,0.0
extract_hierarcy,0ns,23166,0.0
node_alloc,0ns,7504,0.0
node_free,0ns,7420,0.0
pack_coefs,0ns,770,0.0
random_hiperplane,0ns,770,0.0
rnd_perm,0ns,1,0.0
timing_close,0ns,2,0.0
timing_count_get,0ns,500963,0.0
timing_init,0ns,2,0.0
timing_reset,0ns,250964,0.0
timing_start,0ns,250001,0.0
timing_stop,0ns,250000,0.0
tree_copy,0ns,5963,0.0
tree_create,0ns,1541,0.0
tree_create_child,0ns,1540,0.0
tree_delete_child,0ns,1458,0.0
tree_delete_node,0ns,7420,0.0
tree_get_sibling,0ns,10846,0.0
tree_init,0ns,1,0.0
main,0ns,0,0.0
