Name (location),Time,Calls,% Time
Summary,10.470s,,100.0
evaluate_node_test,7.610s,577778392,72.68386
find_dt_leaf_for_inst,2.270s,250001000,21.680994
find_node_distribution,550.000ms,250001,5.253104
efti,40.000ms,1,0.38204393
_extract_hierarcy,0ns,52753,0.0
delete_trimmed_subtree,0ns,40,0.0
efti_close,0ns,1,0.0
efti_init,0ns,1,0.0
efti_load_instance,0ns,1000,0.0
efti_printf,0ns,5,0.0
efti_reset,0ns,2,0.0
extract_hierarcy,0ns,7805,0.0
fitness_eval,0ns,250001,0.0
node_alloc,0ns,5427,0.0
node_free,0ns,5379,0.0
pack_coefs,0ns,2495,0.0
random_hiperplane,0ns,2495,0.0
rnd_perm,0ns,1,0.0
timing_close,0ns,2,0.0
timing_count_get,0ns,500303,0.0
timing_init,0ns,2,0.0
timing_reset,0ns,250304,0.0
timing_start,0ns,250001,0.0
timing_stop,0ns,250000,0.0
tree_copy,0ns,436,0.0
tree_create,0ns,4991,0.0
tree_create_child,0ns,4990,0.0
tree_delete_child,0ns,4950,0.0
tree_delete_node,0ns,5379,0.0
tree_get_sibling,0ns,1418,0.0
tree_init,0ns,1,0.0
main,0ns,0,0.0
