Name (location),Time,Calls,% Time
Summary,5.700s,,100.0
evaluate_node_test,3.290s,540463400,57.7193
find_dt_leaf_for_inst,1.900s,192000768,33.333332
find_node_distribution,450.000ms,250001,7.894737
efti,40.000ms,1,0.7017544
fitness_eval,10.000ms,250001,0.1754386
timing_reset,10.000ms,250219,0.1754386
_extract_hierarcy,0ns,123930,0.0
delete_trimmed_subtree,0ns,48,0.0
efti_close,0ns,1,0.0
efti_init,0ns,1,0.0
efti_load_instance,0ns,768,0.0
efti_printf,0ns,5,0.0
efti_reset,0ns,2,0.0
extract_hierarcy,0ns,11504,0.0
node_alloc,0ns,5818,0.0
node_free,0ns,5770,0.0
pack_coefs,0ns,2643,0.0
random_hiperplane,0ns,2643,0.0
rnd_perm,0ns,1,0.0
timing_close,0ns,2,0.0
timing_count_get,0ns,500218,0.0
timing_init,0ns,2,0.0
timing_start,0ns,250001,0.0
timing_stop,0ns,250000,0.0
tree_copy,0ns,531,0.0
tree_create,0ns,5287,0.0
tree_create_child,0ns,5286,0.0
tree_delete_child,0ns,5246,0.0
tree_delete_node,0ns,5770,0.0
tree_get_sibling,0ns,3120,0.0
tree_init,0ns,1,0.0
main,0ns,0,0.0
