Name (location),Time,Calls,% Time
Summary,9.400s,,100.0
evaluate_node_test,6.740s,437852659,71.702126
find_dt_leaf_for_inst,2.010s,260001040,21.382978
find_node_distribution,650.000ms,250001,6.9148936
_extract_hierarcy,0ns,34602,0.0
delete_trimmed_subtree,0ns,39,0.0
efti,0ns,1,0.0
efti_close,0ns,1,0.0
efti_init,0ns,1,0.0
efti_load_instance,0ns,1040,0.0
efti_printf,0ns,5,0.0
efti_reset,0ns,2,0.0
extract_hierarcy,0ns,6156,0.0
fitness_eval,0ns,250001,0.0
node_alloc,0ns,4686,0.0
node_free,0ns,4644,0.0
pack_coefs,0ns,2127,0.0
random_hiperplane,0ns,2127,0.0
rnd_perm,0ns,1,0.0
timing_close,0ns,2,0.0
timing_count_get,0ns,500268,0.0
timing_init,0ns,2,0.0
timing_reset,0ns,250269,0.0
timing_start,0ns,250001,0.0
timing_stop,0ns,250000,0.0
tree_copy,0ns,431,0.0
tree_create,0ns,4255,0.0
tree_create_child,0ns,4254,0.0
tree_delete_child,0ns,4218,0.0
tree_delete_node,0ns,4644,0.0
tree_get_sibling,0ns,957,0.0
tree_init,0ns,1,0.0
main,0ns,0,0.0
