Name (location),Time,Calls,% Time
Summary,1.450s,,100.0
evaluate_node_test,1.080s,67417679,74.48276
find_dt_leaf_for_inst,250.000ms,66750267,17.241379
find_node_distribution,100.000ms,250001,6.8965516
efti,20.000ms,1,1.3793104
_extract_hierarcy,0ns,18087,0.0
delete_trimmed_subtree,0ns,40,0.0
efti_close,0ns,1,0.0
efti_init,0ns,1,0.0
efti_load_instance,0ns,267,0.0
efti_printf,0ns,5,0.0
efti_reset,0ns,2,0.0
extract_hierarcy,0ns,4499,0.0
fitness_eval,0ns,250001,0.0
node_alloc,0ns,4544,0.0
node_free,0ns,4498,0.0
pack_coefs,0ns,2240,0.0
random_hiperplane,0ns,2240,0.0
rnd_perm,0ns,1,0.0
timing_close,0ns,2,0.0
timing_count_get,0ns,500048,0.0
timing_init,0ns,2,0.0
timing_reset,0ns,250049,0.0
timing_start,0ns,250001,0.0
timing_stop,0ns,250000,0.0
tree_copy,0ns,63,0.0
tree_create,0ns,4481,0.0
tree_create_child,0ns,4480,0.0
tree_delete_child,0ns,4438,0.0
tree_delete_node,0ns,4498,0.0
tree_get_sibling,0ns,20,0.0
tree_init,0ns,1,0.0
main,0ns,0,0.0
